"country","biofuel_electricity","hydro_electricity","nuclear_electricity","solar_electricity","wind_electricity","other_renewable_electricity","coal_electricity","gas_electricity","oil_electricity","total_electricity","population"
"Syria",0.66,50.17,0,0,0,0.66,0,231.849,282.211,565.55,13568538.4615385
"Taiwan",69.194,170.627,1257.943,18.367,19.84,74.437,2906.431,1185.587,687.935,6390.361,12089629.892562
"Tajikistan",0,345.535,0,0,0,0,0,0,8.18,353.715,6821517.24137931
"Tanzania",0.685,45.046,0,0.316,0,0.685,0,36.633,11.944,95.309,16735052.1
"Thailand",134.897,205.94,0,27.994,11.164,136.522,764.521,2471.984,249.901,4002.923,33143280.1157025
"Timor",0,0,0,0,0,0,0,0,0,0,1084071.42857143
"Togo",0.047,1.691,0,0.018,0,0.047,0,0.616,2.202,4.621,5054150
"Tonga",0,0,0,0,0,0,0,0,0.941,0.941,98325
"Trinidad and Tobago",0.216,0,0,0.06,0,0.593,0,127.592,23.711,152.172,1187036.36363636
"Tunisia",0,1.491,0,0.885,4.554,0,0,312.892,0,319.822,5253441.62809917
"Turkey",20.4,1446.68,0,31.413,142.915,69.819,1642.821,1853.043,176.846,5383.937,35062874.8099174
"Turkmenistan",0,0.118,0,0,0,0,0,105.815,204.185,310.118,4398800
"Turks and Caicos Islands",0,0,0,0,0,0,0,0,3.352,3.352,21950
"Uganda",5.02,41.726,0,0.463,0,5.02,0,0,6.386,58.615,24957100
"Ukraine",2.452,379.632,2706.333,6.176,13.116,2.452,2537.173,1004.656,429.789,7081.779,39274570.1322314
"United Arab Emirates",0.036,0,0,7.31,0.011,0.036,0,2002.92,0.087,2010.4,3359545.45454545
"United Kingdom",345.471,177.563,2673.451,76.386,467.811,362.093,4629.607,3572.725,519.088,12824.195,51673214.6115702
"United States of America",1205.111,9941.101,25810.015,560.669,2572.118,2375.326,61129.035,28412.154,3317.217,135322.746,188484469.421488
"United States Pacific Islands",0,0,0,0,0,0,0,0,0,0,0
"United States Virgin Islands",0,0,0,0.057,0,0,0,0,16.091,16.148,105800
"Uruguay",24.194,146.546,0,1.77,24.964,24.194,0,9.76,14.698,246.126,3158536.58536585
"USSR",0,0,0,0,0,0,0,0,0,0,0
"Uzbekistan",0,222.053,0,0.031,0,0,223.439,614.024,26.58,1086.127,24349825
"Vanuatu",0.016,0,0,0.018,0.055,0.016,0,0,0.984,1.089,192100
"Venezuela",0,2069.371,0,0.05,0.527,0,0,658.568,0,2728.516,11766486.85
"Vietnam",1.188,970.012,0,19.488,3.304,1.188,781.109,668.856,62.436,2507.581,42948588.9669421
"Western Africa",0,513.79,0,2.831,1.313,6.373,0,0,0,524.307,0
"Western Sahara",0,0,0,0,0,0,0,0,0.86,0.86,342725
"World",7046.44,105466.329,85606.045,3726.96,11151.199,10833.397,234897.147,121156.751,43173.017,623057.285,3675728968.99174
"Yemen",0,0,0,1.418,0,0,0,20.774,79.328,101.52,15351020
"Yugoslavia",0,0,0,0,0,0,0,0,0,0,0
"Zambia",1.116,211.659,0,0.013,0,1.116,4.691,0,4.397,222.992,5040679.65
"Zimbabwe",1.659,95.651,0,0.066,0,1.659,68.519,0,0,167.554,5917900.64166667
